country_code	country	2015-2020	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
90	Solomon Islands	0.778	0.111	-35.531	-54.72	-71.5145	-81.0525	-89.224	-91.742	-99.5425	-108.8285	-113.401	-121.4805	-130.549	-136.2015	-139.5615	-139.382	-145.592
548	Vanuatu	-0.1005	-1.7725	-5.981	-12.6145	-16.3505	-18.9765	-20.8025	-23.35	-26.2295	-28.785	-30.149	-32.9875	-36.425	-37.6555	-41.251	-43.5665	-44.89
954	Micronesia	-1.9485	-30.885	-43.854	-42.9985	-42.141	-42.4525	-42.2355	-43.921	-45.873	-47.853	-51.509	-53.9005	-52.703	-61.15	-61.0205	-67.2495	-71.62
316	Guam	-0.122	-3.6435	-10.764	-13.2535	-14.058	-14.148	-14.828	-14.6225	-14.303	-14.5375	-14.4045	-14.712	-15.803	-16.805	-17.195	-17.8685	-19.0275
296	Kiribati	0	-4.0245	-13.1305	-15.7105	-16.903	-17.926	-17.964	-18.97	-20.31	-20.89	-22.301	-22.797	-23.2655	-24.826	-25.002	-26.189	-29.4465
584	Marshall Islands	-1.002	-10.43	-11.9	-8.823	-6.9495	-6.0025	-5.496	-5.072	-4.653	-4.461	-4.419	-4.5255	-4.4565	-4.8215	-4.8355	-4.888	-4.852
583	Micronesia (Fed. States of)	-0.34	-6.8755	-12.811	-14.689	-15.311	-15.491	-15.0375	-14.6045	-14.1995	-14.1835	-14.0445	-13.9875	-14.3075	-14.403	-15.2965	-15.481	-16.9205
520	Nauru	-0.107	-1.0485	-2.1615	-2.2495	-2.2005	-2.222	-2.331	-2.5015	-2.724	-2.9005	-3.129	-3.1225	-3.5035	-3.724	-4.082	-4.1445	-4.279
580	Northern Mariana Islands	-0.3775	-9.9105	-17.1085	-15.397	-15.6455	-18.41	-19.052	-22.295	-25.666	-27.3165	-31.895	-35.434	-36.2885	-40.4155	-41.723	-49.058	-52.949
585	Palau	0	-0.4715	-1.9815	-2.08	-1.978	-1.951	-1.929	-1.952	-1.882	-1.852	-1.9	-1.81	-1.8545	-1.9095	-1.9485	-2.011	-1.9925
957	Polynesia	-3.5755	-46.378	-61.6165	-59.7785	-58.5375	-57.9395	-56.1365	-55.8895	-54.5345	-52.8545	-52.5935	-52.6925	-54.938	-54.5265	-56.472	-57.3245	-59.145
16	American Samoa	-0.3265	-6.7855	-9.673	-9.133	-8.1545	-7.091	-6.331	-5.8465	-5.565	-5.6825	-5.622	-5.6965	-5.763	-6.483	-6.3395	-6.3835	-6.43
184	Cook Islands	-0.2915	-3.2595	-4.0195	-2.6765	-2.4245	-2.1935	-2.2385	-2.1405	-2.282	-2.5	-2.637	-2.858	-2.985	-3.263	-3.6435	-4.0815	-4.631
258	French Polynesia	-0.7215	-9.167	-19.3655	-20.7555	-20.871	-20.9535	-19.9415	-19.152	-18.159	-17.1225	-17.2	-15.781	-15.354	-15.8335	-14.7785	-15.049	-15.9985
570	Niue	0.0035	-0.031	-0.2055	-0.221	-0.2255	-0.118	-0.289	-0.3615	-0.4255	-0.4225	-0.539	-0.711	-0.84	-0.9425	-1.114	-1.3	-1.386
882	Samoa	-1.1495	-16.431	-27.762	-30.438	-32.813	-35.0405	-35.1955	-35.774	-35.5515	-35.234	-35.445	-36.6715	-38.0865	-37.287	-41.7815	-44.132	-47.3465
772	Tokelau	0.0265	0.1795	-0.5085	-0.723	-0.8265	-0.9255	-1.0195	-1.1455	-1.2045	-1.377	-1.7675	-1.883	-1.9635	-2.23	-2.0745	-2.3515	-2.5985
776	Tonga	-0.9035	-12.228	-17.7855	-17.949	-17.9905	-17.1225	-15.8195	-15.315	-14.7255	-14.1145	-13.9735	-13.869	-14.7475	-15.2585	-15.843	-15.4065	-15.7865
798	Tuvalu	-0.1775	-1.9065	-2.3515	-1.902	-1.5835	-1.5465	-1.5215	-1.5655	-1.63	-1.6465	-1.762	-1.947	-2.1135	-2.343	-2.509	-2.6205	-2.9375
876	Wallis and Futuna Islands	-0.0355	-0.878	-2.2895	-2.176	-2.0625	-2.1265	-2.1	-2.101	-2.0045	-2.005	-2.2115	-2.502	-2.7675	-2.9385	-2.812	-2.7895	-2.7425
