country_code	country	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	last.observed
50	Bangladesh	39.0886	42.5589	45.5213	47.2803	42.4089	51.374	53.1819	55.0189	56.446	60.1107	63.8973	66.8055	69.3318	71.7212	2023
64	Bhutan	35.4359	35.9039	37.2757	39.7283	42.8873	46.3806	50.2162	54.0492	57.081	60.9796	64.4557	67.3813	70.0276	71.6553	2023
356	India	42.1667	44.5598	46.0815	47.0255	49.5062	52.1377	54.9835	57.5149	59.6651	61.701	63.8919	66.0961	68.3476	70.195	2023
364	Iran (Islamic Republic of)	39.0308	41.6842	44.6384	48.0804	52.4589	56.6951	58.8197	63.3254	66.759	69.1219	71.2115	73.5744	75.2596	76.2223	2023
462	Maldives	36.8001	37.2701	39.152	42.685	47.1392	51.8607	56.9632	61.2065	65.0432	69.1169	72.8433	75.8601	77.7494	79.2783	2023
524	Nepal	37.6746	38.122	39.5356	41.9326	44.2681	46.8914	49.4705	52.7797	57.137	61.0868	63.9804	66.2618	67.3979	68.7815	2023
586	Pakistan	37.0242	41.9437	46.319	51.0535	52.9805	55.8762	58.3523	59.3342	60.0324	61.0033	62.6006	63.8172	64.9968	66.1992	2023
144	Sri Lanka	55.1652	58.8834	61.7826	63.6878	64.7323	66.6842	68.6052	68.6802	69.7576	70.2699	71.327	72.4917	75.3581	76.4714	2023
920	South-Eastern Asia	44.936	48.796	51.1714	53.0556	55.1797	56.9537	61.2564	63.4643	65.3149	66.7818	67.9725	69.1974	70.4711	71.3979	2023
96	Brunei Darussalam	53.3268	57.0548	60.0001	63.1746	65.6498	68.1339	69.8719	71.1313	72.2753	73.5217	74.4965	74.8131	74.8853	75.0522	2023
116	Cambodia	39.4963	41.0924	43.3361	44.4685	32.6543	14.6838	49.1002	53.5431	56.1897	58.0528	61.899	65.8747	68.5631	69.9224	2023
360	Indonesia	41.8428	45.1639	47.5631	50.3655	54.6701	57.3758	60.0679	62.3394	64.4609	65.84	66.6579	68.0197	69.0104	69.8909	2023
418	Lao People's Democratic Republic	39.5466	40.798	41.7162	42.9558	44.7926	46.7289	50.1249	52.8376	55.2669	57.3563	59.4732	62.1094	65.4239	67.5114	2023
458	Malaysia	50.5726	54.9415	59.2335	62.2922	64.5445	66.9928	69.1017	70.5706	71.6255	72.3882	73.7093	75.1357	75.5031	75.7476	2023
104	Myanmar	37.9443	42.3011	45.6579	49.1086	51.5723	53.4505	55.1653	56.5171	57.883	59.6587	61.0534	61.2312	64.4507	66.0678	2023
608	Philippines	55.0454	58.0092	59.7957	60.7848	60.857	61.3973	62.251	63.5349	65.4325	67.1533	68.0846	68.5748	69.2933	69.8945	2023
702	Singapore	57.6737	63.7828	66.3263	67.7308	69.3055	71.0744	72.3363	74.1008	75.4748	76.7882	79.0411	81.1704	82.3867	83.3372	2023
764	Thailand	46.6776	49.3269	51.7881	54.7465	58.1347	61.1233	64.2892	68.0274	69.5162	70.6299	72.0148	74.0935	75.873	77.1048	2023
626	Timor-Leste	30.0921	31.5139	33.4573	35.987	36.06	25.1716	32.5826	38.0451	46.5502	47.795	60.0336	62.7776	64.6346	66.3285	2023
704	Viet Nam	50.21	56.4437	57.6937	55.3675	55.1945	64.1889	66.3593	68.2512	69.8979	72.0082	73.1155	73.4868	73.8261	74.2677	2023
922	Western Asia	45.4193	48.4263	51.7818	55.0825	58.2044	61.0447	63.1668	65.2464	67.5618	69.1713	70.9258	72.366	73.3871	74.3619	2023
51	Armenia	55.6176	57.9491	60.2787	62.2248	63.4639	64.69	66.2106	64.1442	68.0749	69.8533	71.5633	72.4677	73.5962	74.173	2023
31	Azerbaijan	47.0404	49.3668	52.3337	55.3487	57.7509	60.1321	62.0764	62.6516	61.5907	63.7731	66.8421	69.1329	71.3272	72.5494	2023
48	Bahrain	40.3614	46.4998	54.6498	61.4098	66.6446	69.7536	71.5284	72.4542	72.9965	74.1104	75.5687	77.5398	79.8575	80.2578	2023
196	Cyprus	58.3762	61.8975	63.4666	66.9255	65.3547	71.5963	73.6473	75.4151	76.3532	77.3115	78.7588	79.9681	81.2344	81.5717	2023
268	Georgia	58.5469	60.4049	62.3021	64.1961	65.7223	67.4355	68.8553	68.9045	68.1441	69.868	70.64	71.0281	72.7396	73.6155	2023
368	Iraq	41.1043	48.2503	53.8349	58.568	61.4712	63.4276	59.3583	58.5035	63.6613	64.5508	65.104	65.8117	69.1457	70.1919	2023
376	Israel	67.3376	67.8523	69.8726	71.2246	71.732	72.9978	74.881	76.8582	77.9161	78.7432	79.8399	81.2634	82.2189	82.783	2023
400	Jordan	44.4547	50.1933	55.1923	59.4568	62.6033	65.3302	67.6676	69.6084	70.6719	71.5048	72.5569	73.6263	74.4447	76.2064	2023
414	Kuwait	51.8079	56.8124	61.823	66.4438	69.1033	70.3639	72.2334	74.0517	74.6638	75.7045	76.2159	77.0284	78.8052	79.8586	2023
422	Lebanon	60.8073	62.4699	64.7061	65.7392	65.2142	53.5172	57.5369	63.2743	70.9788	73.1647	75.1203	76.7914	78.2612	77.9842	2023
512	Oman	30.2203	33.0908	37.703	43.5685	49.3868	56.3811	62.6976	67.4248	70.4529	72.6292	74.3507	76.0534	78.7068	79.4127	2023
634	Qatar	51.8418	55.5738	60.3083	63.4943	66.5122	68.8875	70.9547	72.6837	73.9685	74.9174	76.0727	78.4827	81.0711	82.2141	2023
682	Saudi Arabia	41.1933	43.8278	46.7286	50.4542	55.3165	60.2729	64.444	67.6401	70.1138	71.9354	73.6842	75.2667	76.5375	78.3205	2023
275	State of Palestine	46.1837	47.941	50.4009	52.7126	56.9229	60.3276	63.7737	66.5446	68.7849	70.4125	70.8402	72.2872	73.6952	75.3	2023
760	Syrian Arab Republic	44.7471	50.0142	54.854	58.6054	61.9631	65.5631	65.5492	69.0233	70.2453	70.3802	71.9944	73.3762	67.262	67.4647	2023
792	Türkiye	48.2162	49.6623	52.6711	55.47	58.1881	61.2434	64.0309	66.664	68.8697	70.7484	72.8688	74.3264	75.8328	77.1611	2023
784	United Arab Emirates	44.5022	48.2574	52.8935	58.2027	64.1797	67.3965	69.4716	70.8478	71.2135	74.0366	79.5771	81.3314	81.981	82.172	2023
887	Yemen	29.8709	31.9317	33.9503	37.6516	42.9927	47.891	52.998	56.635	59.4053	61.6038	64.1026	66.4169	67.6121	66.6568	2023
908	Europe	63.6059	67.4802	69.4599	70.2094	70.7493	71.1647	71.8246	73.005	72.5414	73.1545	73.7995	75.4375	77.2211	78.3449	2023
923	Eastern Europe	60.1473	66.2972	69.0467	69.4406	69.4491	68.9381	68.9696	70.1283	68.1848	67.9677	67.8801	69.7104	72.1468	73.8924	2023
112	Belarus	61.1241	66.2773	70.6385	71.8653	71.7292	71.066	70.8407	71.6587	69.9018	68.535	68.5583	69.9999	72.1885	74.0178	2023
100	Bulgaria	62.4327	66.8324	70.3515	70.9406	71.0884	71.1199	71.2537	71.39	71.0991	70.9606	72.1942	73.1626	74.4005	74.7538	2023
203	Czechia	66.8735	69.6634	70.3955	70.0083	70.0082	70.6461	70.7932	71.4548	72.5044	74.2437	75.5536	77.0165	78.1884	78.9093	2023
348	Hungary	64.0294	66.9823	68.8462	69.4572	69.3655	69.6078	69.0931	69.4214	69.4126	70.8861	72.5246	73.725	75.3728	76.1205	2023
616	Poland	60.5684	64.8622	68.3569	69.8228	70.2981	70.3833	70.6907	70.7299	71.2002	72.7776	74.5954	75.6033	76.9669	77.601	2023
498	Republic of Moldova	55.4594	58.3058	60.5495	61.9906	63.0826	64.4169	65.9343	67.7698	66.948	66.7433	67.7767	68.7152	70.0691	70.1677	2023
642	Romania	62.0154	64.2911	67.3996	67.9188	69.1145	69.6604	69.7206	69.4103	69.6179	69.7208	70.969	72.7243	74.4951	74.9703	2023
643	Russian Federation	58.069	66.5583	68.9271	69.094	68.8467	67.8604	67.8169	69.7101	66.41	65.8362	64.9607	67.4352	70.2056	72.4169	2023
703	Slovakia	64.3672	68.7035	70.6851	70.3809	70.0857	70.473	70.6237	70.9662	71.6193	72.7457	73.8285	74.7848	76.3595	77.2632	2023
804	Ukraine	62.7576	67.4395	70.546	71.0849	70.857	70.0025	69.9659	70.8823	68.6559	67.6595	67.6213	68.2818	71.3037	73.5762	2023
924	Northern Europe	69.3476	70.6386	71.2357	71.8957	72.411	73.0859	74.0907	74.9543	75.6773	76.7284	77.9671	79.207	80.5313	81.0508	2023
